Name,Brand,Price,Model,Rating,Number of Ratings,Stock,Specifications,Image
BENYAR Stylish Mens Watch Chronograph Quartz Movement Business Sport Design 3ATM Waterproof Elegant Gift for Men,BY BENYAR,2290,BY-5160,4.3,1093,In stock,"{'item_weight': '130 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Hardlex', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71kr300JDCL._SX679_.jpg
Men Watch Dual-Display Electronic Watch with Luminous 50m Waterproof Watch Fashion Multifunctional Sports Watch for Men- 1816,SKMEI,1749,1816,3.9,634,In stock,"{'item_weight': '30 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Polyurethane', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/71zXL4hqUyL._SX679_.jpg
Men's Business Watch Gold Blue with Large Easy-Read Analog Quartz Date Display Luxury Stainless Steel Band Waterproof Luminous Hands,OLEVS,3040,OLS-IND-G2900GJ-JH,3.7,231,In stock,"{'item_weight': '120 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/610mJIM9RvL._SX679_.jpg
Mens Analog Quartz Watches Diamond Luxury Dress Wrist Watch Big Face Easy Reader Business Casual Stainless Steel Waterproof Date Watch,OLEVS,3040,MJ-IND-G705-BH,4.4,257,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/614c-shR0EL._SX679_.jpg
"Samsung Galaxy Watch Ultra (47mm, LTE, Gray) with Upto 100h Battery | 3nm Processor | Dual GPS | Quick Button/Siren | Sapphire Glass & Titanium | 10ATM & IP68 | BP & ECG Monitor | Energy Score & Ages",Samsung,44775,,4.2,40,In stock,"{'item_weight': '94 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/81i1Vn-KQuL._SX679_.jpg
Fastfit Quartz Analog Grey Dial Silicone Strap Unisex Watch-NS68011PP08,Fastrack,850,NR68011PP08,4.2,1018,In stock,"{'item_weight': '150 g', 'case_material': 'Plastic', 'crystal_material': 'Acrylic', 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71-yaJc6Z-L._SY879_.jpg
"Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",Matrix,289,DD-78-79-80,3.7,1744,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71syP5d3+SL._SY879_.jpg
Watches for Men Round Numerical Dial Analogue Men Watch|Long Battery Life with Long Lasting Polish/Adjustable Flexible Silicon Strap|Watches for Boys,IIK COLLECTION,310,IIK-968M,4,270,In stock,"{'item_weight': '70 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/711c+bKUNAL._SX679_.jpg
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3,120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating (Silver Grey)",Fire-Boltt,1199,,4.1,79598,In stock,"{'item_weight': '37 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/411JSvfkGQL._SX300_SY300_QL70_FMwebp_.jpg
Decker Brown Watch,Fossil,5997,CH2885,4.2,5741,In stock,"{'item_weight': '200 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Leather', 'water_resistant_depth': '10.00 Bars'}",https://m.media-amazon.com/images/I/81w3gMM9vaS._SX679_.jpg
"Apple Watch SE (2nd Gen, 2023) [GPS 44mm] Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Apple,,,4.4,175,Available to ship in 1-2 days,"{'item_weight': None, 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41c3wmZ2KXL._SY445_SX342_QL70_FMwebp_.jpg
"Fire-Boltt Phoenix Ultra Luxury Stainless Steel, Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Gold)",Fire-Boltt,1499,,4.1,79598,In stock,"{'item_weight': '55 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/819DWQLgjKL._SX679_.jpg
Fossil Stainless Steel Fenmore Analog Black Dial Men's Watch-Bq2365,Fossil,8696,,4.3,2826,In stock,"{'item_weight': '61 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/71QSInx7UYL._SX679_.jpg
Enticer Analog Dial Watch,Casio,5156,72a380be-9493-4acc-9c09-6b7f848cdeb9,4.3,6408,In stock,"{'item_weight': '91 g', 'case_material': 'Ion Plated', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61FKVerMRWL._SX679_.jpg
"Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap",Fossil,14493,FS4795,4.4,1942,In stock,"{'item_weight': '1 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/71QoSMBhfVL._SX679_.jpg
"Amazfit Falcon 49mm Smartwatch for Men, Premium Multisport GPS Smart Watch, Strength Training Watch, 150+ Sports Modes Titanium (Supersonic Black Strap)",Amazfit,49999,,4.4,207,In stock,"{'item_weight': '64 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/71GN2pwsOOL._SX679_.jpg
"Noise Diva Smartwatch with Diamond Cut dial, Glossy Metallic Finish, AMOLED Display, Mesh Metal and Leather Strap Options, 100+ Watch Faces, Female Cycle Tracker Smart Watch for Women (Gold Link)",Noise,2799,,4.3,4001,In stock,"{'item_weight': '45 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/81jVNXMKhEL._SX679_.jpg
Men's Watch New Wheels Rolling Creative Fashion Che Youhui League Fans Butterfly Double Snap Gift Wristwatch - 1787,SKMEI,1399,1787,4.2,837,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61wb1KTyNgL._SX679_.jpg
Grant Analog Off-White Dial Men's Watch-ME3099,Fossil,18995,ME3099,4.4,997,In stock,"{'item_weight': '76 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Leather', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/71Z5n0DTigL._SX679_.jpg
Fossil Fenmore Midsize Analog Black Dial Men's Watch-Bq2453 - Leather,Fossil,8747,,4.2,1657,,"{'item_weight': '41 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61vMRNgDXYL._SY879_.jpg
Watches for Men Quartz Chronograph 10ATM Waterproof Brown Leather Men's Minimalist Slim Fashion Watch Gifts for Men,Sapphero,3556,2104-7,4.3,427,In stock,"{'item_weight': '159 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61icKx7XGgL._SX679_.jpg
"Analog-Digital Sports Watch: Chronograph, Dual Time, Alarm, Stopwatch, Water-Resistant, Shock-Resistant, Back Light Display- The Perfect Watches for Men - CT9105",Carlington,1139,CT 9105 Teal,4.2,631,In stock,"{'item_weight': '80 g', 'case_material': 'Alloy Steel', 'crystal_material': 'Mineral', 'band_material': 'Resin', 'water_resistant_depth': '10 Meters'}",https://m.media-amazon.com/images/I/91le6qCmG7L._SX679_.jpg
Fossil Brox Stainless Steel Analog Gray Dial Men's Watch-Bq2533,Fossil,10497,,4.1,122,In stock,"{'item_weight': '122 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/715llkvl8uL._SY879_.jpg
,,3040,MJ-IND-G705-BB,4.4,257,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61xin6JyYhL._SX679_.jpg
"Fossil Men Leather Machine Analog Black Dial Watch-Fs4656, Band Color-Brown",Fossil,13495,,3.9,672,In stock,"{'item_weight': '170 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/71RE2ca6YzL._SY879_.jpg
Watches for Men Chronograph Business Wrist Watches Analog Quartz Moon Phase Stainless Steel Waterproof Luminous Dress Watches,OLEVS,2960,OLS-IND-G2859GJ-JL,3.6,1284,In stock,"{'item_weight': '150 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61RJ2VavZPL._SX679_.jpg
Square Watches for Men Brown Leather Chronograph Fashion Business Watch Luminous Waterproof Casual Wrist Watches,OLEVS,3840,OPK-IN-G9919PL-ML,4.4,111,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': None, 'band_material': 'Leather', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/71KtlL-oFsL._SX679_.jpg
Watch for Men Analog Quartz Dress Business Watch Day Date Stainless Steel Classic Casual Luxury Luminous Waterproof Male Wrist Watches,OLEVS,3040,MJ-IND-G3615-JB,4.1,190,,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/710CS3yo0bL._SX679_.jpg
Men's Analogue Sport Chronograph Luminous Quartz Watch with Fashion Silicone Strap,Megir,3329,2019,4.5,454,In stock,"{'item_weight': '110 g', 'case_material': 'Metal', 'crystal_material': 'Acrylic', 'band_material': '硅胶', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61nJjFeCunL._SX679_.jpg
Fundamentals Quartz Analog Blue Dial Stainless Steel Strap Watch for Guys-NS38051SM03,Fastrack,990,NR38051SM03,4.2,1665,In stock,"{'item_weight': '200 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/51rkfCCjh0L._SX679_.jpg
"boAt Lunar Orb w/ 1.45"" (3.6 cm) AMOLED Display, BT Calling, DIY Watch Face Studio, Coins, Crest App Health Ecosystem, Live Cricket & Football Scores, IP67, Smart Watch for Men & Women(Metal Black)",boAt,1699,,3.9,36995,In stock,"{'item_weight': '45 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/514iKFGKsPL._SX300_SY300_QL70_FMwebp_.jpg
Michael Kors Analog Grey Dial and Band Men's Stainless Steel Watch-MK8576,Michael Kors,8997,,4.4,3053,In stock,"{'item_weight': '111 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/71Iec7fadmL._SX679_.jpg
SF Quartz Analog White Dial Watch for Men-NS7930PP01,Sonata,519,NR7930PP01,3.9,11464,In stock,"{'item_weight': None, 'case_material': 'Plastic', 'crystal_material': None, 'band_material': 'Synthetic', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71mG-2RT7NL._SY879_.jpg
Trendies Quartz Analog White Dial Plastic Strap Watch for Girls-NS68006PP02,Fastrack,1755,NP68006PP02,3.9,1031,In stock,"{'item_weight': '200 g', 'case_material': 'Plastic', 'crystal_material': 'Acrylic', 'band_material': 'Plastic', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/41gM20VrhsL._SX679_.jpg
Neo Splash Blue Dial Quartz Multifunction Stainless Steel Strap Watch for Men-NS1805QM01,Titan,5596,1805QM01,4.4,257,In stock,"{'item_weight': None, 'case_material': None, 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71SxGG76qpL._SX679_.jpg
Stainless Steel Watch Series Analogue Men's Watch (Black Dial Mens Long Colored Strap) -W219,Shocknshop,265,W219,3.6,1766,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel Black Plated', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/51QBJ7Ag9oL._SY879_.jpg
"Stainless Steel Karishma Analog Multi-Colour Dial Men's Watch-Nl1581Ym04/Np1581Ym04, Band Color:Gold",Titan,2529,NP1581YM04,4.3,353,In stock,"{'item_weight': '150 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/818mgDx5zxL._SY879_.jpg
"boAt Wave Sigma 3 w/Turn-by-Turn Navigation, 2.01"" HD Display, Bluetooth Calling, Crest+ OS, QR Tray, Watch Face Studio, Coins, Emergency SOS Smart Watch for Men & Women(Active Black)",boAt,1099,,4,21541,In stock,"{'item_weight': '110 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/4156F9DQEaL._SX300_SY300_QL70_FMwebp_.jpg
"Stainless Steel Women Karli Rose Gold Dial Analog Watch Bq3181, Rose Gold Band",Fossil,7197,BQ3181,4.5,3263,In stock,"{'item_weight': '1 g', 'case_material': None, 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/81AmHv7jKsL._SX679_.jpg
"Analog-Digital Sports Watch: Chronograph, Dual Time, Alarm, Stopwatch, Water-Resistant, Shock-Resistant, Back Light Display- The Perfect Watches for Men - CT9105",Carlington,1139,CT 9105 Teal,4.2,631,In stock,"{'item_weight': '80 g', 'case_material': 'Alloy Steel', 'crystal_material': 'Mineral', 'band_material': 'Resin', 'water_resistant_depth': '10 Meters'}",https://m.media-amazon.com/images/I/91le6qCmG7L._SX679_.jpg
Analog Silver Dial Men's Watch - TW000R434,TIMEX,1287,TW000R434,4.1,311,In stock,"{'item_weight': '300 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61zNo+xmpoL._SX679_.jpg
Neo Analog Blue Dial Men's Watch - NN1733KL03/NP1733KL03,Titan,4496,NR1733KL03,4.3,1010,In stock,"{'item_weight': '150 g', 'case_material': 'Metal', 'crystal_material': 'Mineral', 'band_material': 'Leather', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61+KXM8DjWL._SX679_.jpg
"Noise Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Elite Black)",Noise,1399,,4,120459,In stock,"{'item_weight': '45 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/51qvmUtvsQL._SX679_.jpg
"Noise Force Rugged & Sporty 1.32"" Bluetooth Calling Smart Watch, 550 NITS, 7 Days Battery, AI Voice Assistance, Smart Watch for Men (Jet Black)",Noise,1499,,4,8758,In stock,"{'item_weight': '45 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/614pTKzcPiL._SX679_.jpg
Quartz Analog Digital Black Dial Silicone Strap Watch for Men-NS38035SP03,Fastrack,2937,NR38035SP03,4.3,831,In stock,"{'item_weight': '180 g', 'case_material': 'Metal', 'crystal_material': 'Mineral', 'band_material': 'Silicone', 'water_resistant_depth': '5 atmosphere'}",https://m.media-amazon.com/images/I/51ksEujI7UL._SX679_.jpg
Fastrack Astor FR2 Pro Smartwatch with 1.43” AMOLED Display with 466 * 466 Pixel Resolution|SingleSync BT Calling|AI Voice Assistant|100+ Sports Modes and Watchfaces|Upto 5 Day Battery|IP68,Fastrack,2999,,4,6481,In stock,"{'item_weight': '117 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/71rjlGEi+1L._SX679_.jpg
Tees Quartz Analog Grey Dial Silicone Strap Unisex Watch-38024PP63W,Fastrack,805,38024PP63W,4,11,In stock,"{'item_weight': '120 g', 'case_material': 'Acrylonitrile Butadiene Styrene', 'crystal_material': 'Acrylic', 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/610O2ACU2FL._SX679_.jpg
"Titan Celestor Smartwatch with 1.43” AMOLED Display & AOD|60Hz Fluid Display|Advanced GPS with Altimeter, Barometer & Compass|Piezoelectric Crown|BT Calling|NitroFast Charge|Upto 7 Day Battery|3ATM",Titan,9989,,3.8,1392,In stock,"{'item_weight': '13 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61LfgJjU5IL._SX679_.jpg
Digital Sports Stylish Multifunctional Electronic LED Black Dial Wrist Watch for Men Boys -WCH78,Shocknshop,445,WCH78,4.1,616,In stock,"{'item_weight': None, 'case_material': 'PU', 'crystal_material': 'Mineral', 'band_material': 'Rubber', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/71CxgCKczdL._SY879_.jpg
Men's Digital Sports Waterproof Wrist Watch with Dual Time Chronograph Countdown Alarm Backlight,SKMEI,559,1299 AR,4.2,624,In stock,"{'item_weight': '40 g', 'case_material': 'Plastic', 'crystal_material': 'Plastic', 'band_material': 'Silicone', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61-efuXD03L._SX679_.jpg
Neo Splash Green Dial Quartz Analog with Date Fabric Strap Watch for Men-NS1805WP01,Titan,6033,NR1805WP01,4.6,58,In stock,"{'item_weight': '150 g', 'case_material': None, 'crystal_material': 'Glass', 'band_material': 'Polyester', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/51boIktYhvL._SX679_.jpg
Casio G-Shock GA-2100RC-1ADR Black & Rusted Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1388,Casio,7356,,4.4,428,,"{'item_weight': '51 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61ZXe58s28L._SX679_.jpg
Neo Iv Analog Black Dial Men's Metal Band Watch-NL1805NM01/NP1805NM01,Titan,5387,NR1805NM01,4.3,1176,In stock,"{'item_weight': '200 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Metal', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/51MX3ZNMf0L._SX679_.jpg
Analog Men's Watch (Dial Colored Strap),Titan,1427,NP1864SL04,4.2,406,In stock,"{'item_weight': '150 g', 'case_material': 'Brass', 'crystal_material': 'Mineral Glass', 'band_material': 'Brass', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/51LSMGwOH5L._SX679_.jpg
Watch for Men Skeleton Analog Quartz Chronograph Diamond Watches Stainless Steel Moon Phase Calendar Waterproof Wrist Watch,OLEVS,2850,MJ-IND-G9931-JL,4,4568,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71PNFOHsITL._SX679_.jpg
Fossil Gen 6 Smartwatch Digital Black Dial Men's Watch-FTW4060,Fossil,9495,,3.6,1230,In stock,"{'item_weight': '140 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/31lb-PBx05L.jpg
Enticer Men Analog Green Dial Men MTP-1302PD-3AVEF (A2262),Casio,3196,MTP-1302PD-3AVEF,4.7,407,In stock,"{'item_weight': '105 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '5.00 Bars'}",https://m.media-amazon.com/images/I/61XeQ6jAVqL._SX679_.jpg
All Nighters Quartz Analog with Date Blue Dial Leather Strap Watch for Girls-NP6165WL01,Fastrack,1509,NP6165WL01,4.1,386,In stock,"{'item_weight': '200 g', 'case_material': 'Metal', 'crystal_material': 'Mineral', 'band_material': 'Leather', 'water_resistant_depth': '3 atmosphere'}",https://m.media-amazon.com/images/I/41frdnHLKrL._SX679_.jpg
Sonata Quartz Analog with Date Grey Dial Leather Watch for Men-77105Nl07,Fastrack,1159,Casual Watch,4.6,20,In stock,"{'item_weight': '150 g', 'case_material': 'Brass', 'crystal_material': 'Mineral Glass', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61A2AjlE+mL._SY879_.jpg
Men Watch Dual-Display Electronic Watch with Luminous 50m Waterproof Watch Fashion Multifunctional Sports Watch for Men- 1816,SKMEI,1749,1816,3.9,634,In stock,"{'item_weight': '30 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/71P8RPG2r5L._SX679_.jpg
Women's Precision Simplicity Analog Watch: Green Gradient Dial with Leather Strap-NS2648WL01,Titan,2328,NR2648WL01,4.2,422,In stock,"{'item_weight': '190 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/616LuWzn7bL._SY879_.jpg
Watch for Men Skeleton Analog Quartz Chronograph Diamond Watches Stainless Steel Moon Phase Calendar Waterproof Wrist Watch,OLEVS,2850,MJ-IND-G9931-JL,4,4568,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71PNFOHsITL._SX679_.jpg
Elegadoom Leather Strap Analog Watches for Men with 3D Doom Glass Display Water Resistant Watch,Sylvi,1549,SYLVI-ELEGADOOM,4.2,16,In stock,"{'item_weight': '38 g', 'case_material': 'Alloy Steel', 'crystal_material': 'Sapphire Crystal', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/51oAQGUocrL._SX679_.jpg
Iconic Leather Strap Watches for Men with Analog Digital Display Alarm Stopwatch Water Resistant Watch,Sylvi,1192,3022,3.9,1466,In stock,"{'item_weight': '120 g', 'case_material': 'Stainless Steel', 'crystal_material': None, 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/611VB8dHBPL._SX679_.jpg
Mens Watches Chronograph Diamond Quartz Date Calendar Moon Phase Luxury Two Tone Stainless Steel Waterproof Luminous Business Wrist Watch,OLEVS,2880,OLS-IND-G2858GB-L,3.9,211,In stock,"{'item_weight': '124 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61diz65kIjL._SX679_.jpg
Mens Analog Quartz Watches Diamond Luxury Dress Wrist Watch Big Face Easy Reader Business Casual Stainless Steel Waterproof Date Watch,OLEVS,3040,MJ-IND-G713-HL,4.4,257,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61aUB1ZEweL._SX679_.jpg
Chronograph Unisex Watch (Dial Colored Strap),SKMEI,559,1412,3.6,71,In stock,"{'item_weight': '250 g', 'case_material': 'ABS + PU', 'crystal_material': 'Glass', 'band_material': 'Polyurethane', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61neHRPRjaL._SX679_.jpg
Watches for Men Chronograph Business Wrist Watches Analog Quartz Moon Phase Stainless Steel Waterproof Luminous Dress Watches,OLEVS,3040,OLS-IND-G2859GH-L,3.6,1284,In stock,"{'item_weight': '150 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61cfI-CCeKL._SX679_.jpg
Mens Watches Men's Quartz Movement Chronograph Date Calendar Silicone Strap 30M Waterproof Black Blue Men's Watches Wristwatch Gifts for Men,Sapphero,2587,1003black,4.1,1433,In stock,"{'item_weight': '195 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Rubber', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71IsYq4+37L._SX679_.jpg
Men's Watches Luxury Fashion Casual Dress Chronograph Waterproof Military Quartz Wristwatches for Men Stainless Steel Band | Watch for Men | Birthday or Rakhi Gift for Men,NIBOSI,1990,2309-M,3.8,1418,In stock,"{'item_weight': '227 g', 'case_material': 'Alloy Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/51SWhG8xzfL._SY879_.jpg
Fastrack Limitless Glide Advanced UltraVU HD Display|BT Calling|Advance Chipset|85+ Sports Modes & Watchfaces|Voice Assistant|24 * 7 Health Suite|IP67 Smartwatch,Fastrack,1999,,3.9,2483,,"{'item_weight': '48 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61rbYFj7DgL._SX679_.jpg
Neo Iv Analog Black Dial Men's Metal Band Watch-NL1805NM01/NP1805NM01,Titan,5387,NR1805NM01,4.3,1176,In stock,"{'item_weight': '200 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Metal', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/51MX3ZNMf0L._SX679_.jpg
Neo Analog Blue Dial Men's Watch - NN1733KL03/NP1733KL03,Titan,4496,NR1733KL03,4.3,1010,In stock,"{'item_weight': '150 g', 'case_material': 'Metal', 'crystal_material': 'Mineral', 'band_material': 'Leather', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61+KXM8DjWL._SX679_.jpg
Quartz Analog Digital Black Dial Silicone Strap Watch for Men-NS38035SP03,Fastrack,2937,NR38035SP03,4.3,831,In stock,"{'item_weight': '180 g', 'case_material': 'Metal', 'crystal_material': 'Mineral', 'band_material': 'Silicone', 'water_resistant_depth': '5 atmosphere'}",https://m.media-amazon.com/images/I/51ksEujI7UL._SX679_.jpg
Analog Stainless Steel Silver Plated Women's Watch (Pink Dial Silver Colored Strap),SWISSTONE,284,JEWELS068-PNKSLV,4,13169,In stock,"{'item_weight': '200 g', 'case_material': 'Silver', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel Silver Plated', 'water_resistant_depth': '1 Meters'}",https://m.media-amazon.com/images/I/817iC5Eq49L._SX679_.jpg
